"Language","english","spanish","portuguese","german","italian","russian","polish","french","czech","chinese","chinesesimp",
"STR_BSHC_Notification_Start_Located","A Hacked Crate is being hacked at %1!","¡Se está hackeando una Caja en %1!","O hacking de uma Caixa foi iniciado em %1!","Eine Kiste wird bei %1 gehackt!","Una Cassa Hackerabile è in corso di hacking a %1!","Взламываемый ящик находится в %1!","Trwa hakowanie skrzyni w %1!","Une caisse piratée est en cours de piratage à %1 !","Někdo začal hackovat krabici v %1!","一个黑客补给箱正在 %1 被破解！","一个黑客补给箱正在 %1 被破解！",
"STR_BSHC_Notification_End_Default","A Hacked Crate has been unlocked!","¡Una Caja Hackeable ha sido desbloqueada!","Uma Caixa Hackeável foi desbloqueada!","Eine Gehackte Kiste wurde freigeschaltet!","Una Cassa Hackerabile è stata sbloccata!","Взломанный ящик разблокирован!","Zhakowana skrzynia została odblokowana!","Une caisse piratée a été déverrouillée !","Krabice byla odemčena!","黑客补给箱已被开启！","黑客补给箱已被开启！",
"STR_BSHC_Notification_End_Located","A Hacked Crate has been unlocked at %1!","¡Una Caja Hackeable ha sido desbloqueada en %1!","Uma Caixa Hackeável foi desbloqueada em %1!","Eine Gehackte Kiste wurde bei %1 freigeschaltet!","Una Cassa Hackerabile è stata sbloccata a %1!","Взломанный ящик был разблокирован в %1!","Zhakowana skrzynia została odblokowana w %1!","Une caisse piratée a été déverrouillée à %1 !","Krabice byla odemčena v %1!","一个黑客补给箱已在 %1 被解锁！","一个黑客补给箱已在 %1 被解锁！",
"STR_BSHC_Notification_Despawn_Default","A Hacked Crate has despawned!","¡Una Caja Hackeable ha desaparecido!","Uma Caixa Hackeável desapareceu!","Eine Gehackte Kiste ist verschwunden!","Una Cassa Hackerabile è scomparsa!","Взломанный ящик исчез!","Zhakowana skrzynia zniknęła!","Une caisse piratée a disparu !","Hackovatelná krabice zmizela!","黑客补给箱未及时破解，已从地图中消失！","黑客补给箱未及时破解，已从地图中消失！",
"STR_BSHC_Notification_Despawn_Located","A Hacked Crate has despawned from %1!","¡Una Caja Hackeable ha desaparecido de %1!","Uma Caixa Hackeável desapareceu de %1!","Eine Gehackte Kiste ist von %1 verschwunden!","Una Cassa Hackerabile è scomparsa da %1!","Взломанный ящик исчез из %1!","Zhakowana skrzynia zniknęła z %1!","Une caisse piratée a disparu de %1 !","Hackovatelná krabice zmizela z %1!","一个黑客补给箱已从 %1 消失！","一个黑客补给箱已从 %1 消失！",
"STR_BSHC_Notification_Warning_Default","In %1 minutes, a Hacked Crate will spawn!","¡En %1 minutos, aparecerá una Caja Hackeable!","Em %1 minutos, uma Caixa Hackeável aparecerá!","In %1 Minuten erscheint eine Gehackte Kiste!","Tra %1 minuti, una Cassa Hackerabile apparirà!","Через %1 минут(ы) появится взломанный ящик!","Za %1 minut pojawi się zhakowana skrzynia!","Dans %1 minutes, une caisse piratée apparaîtra !","Za %1 minut se objeví hackovatelná krabice!","一个黑客补给箱将在 %1 分钟后出现！","一个黑客补给箱将在 %1 分钟后出现！",
"STR_BSHC_Notification_Warning_Located","In %1 minutes, a Hacked Crate will spawn at %2!","¡En %1 minutos, aparecerá una Caja Hackeable en %2!","Em %1 minutos, uma Caixa Hackeável aparecerá em %2!","In %1 Minuten erscheint eine Gehackte Kiste bei %2!","Tra %1 minuti, una Cassa Hackerabile apparirà a %2!","Через %1 минут(ы) в %2 появится взломанный ящик!","Za %1 minut w %2 pojawi się zhakowana skrzynia!","Dans %1 minutes, une caisse piratée apparaîtra à %2 !","Za %1 minut se v %2 objeví hackovatelná krabice!","一个黑客补给箱将在 %1 分钟后出现在 %2！","一个黑客补给箱将在 %1 分钟后出现在 %2！",
"STR_BSHC_Notification_Spawn_Military","A Military Hacked Crate has appeared!","¡Ha aparecido una Caja Hackeable Militar!","Uma Caixa Hackeável Militar apareceu!","Eine Militärische Gehackte Kiste ist erschienen!","È apparsa una Cassa Hackerabile Militare!","Появился военный взломанный ящик!","Pojawiła się wojskowa zhakowana skrzynia!","Une caisse piratée militaire est apparue !","Vojenská Hackovatelná krabice se objevila!","侦测到一处军用战利品箱正等待破解！","侦测到一处军用战利品箱正等待破解！",
"STR_BSHC_Notification_Start_Military","Hacking of a Military Crate in progress...","Hackeo de Caja Militar en progreso...","Hacking de Caixa Militar em progresso...","Hackvorgang einer Militärkiste läuft...","Hacking di una Cassa Militare in corso...","Идет взлом военного ящика...","Trwa hakowanie skrzyni wojskowej...","Piratage d'une caisse militaire en cours...","Probíhá hackování vojenské krabice...","有玩家正在破解军用战利品箱！立即前往阻止！","有玩家正在破解军用战利品箱！立即前往阻止！",
"STR_BSHC_Notification_End_Military","Military Crate unlocked!","¡Caja Militar abierta!","Caixa Militar desbloqueada!","Militärkiste freigeschaltet!","Cassa Militare sbloccata!","Военный ящик разблокирован!","Skrzynia wojskowa odblokowana!","Caisse militaire déverrouillée !","Vojenská krabice byla odemčena!","有玩家成功解锁军用战利品箱，快去抢夺！","有玩家成功解锁军用战利品箱，快去抢夺！",
"STR_BSHC_Notification_Spawn_Rust","A rare Rust-style Crate has been sighted!","¡Una rara Caja Estilo Rust ha sido avistada!","Uma rara Caixa Estilo Ferrugem foi avistada!","Eine seltene Kiste im Rost-Stil wurde gesichtet!","È stata avvistata una rara Cassa Stile Ruggine!","Замечен редкий ящик в стиле ржавчины!","Zauważono rzadką skrzynię w stylu rdzy!","Une caisse rare de style rouille a été aperçue !","Rezavá Hackovatelná krabice se objevila!","稀有 Rust 风格战利品箱已被侦测，速去抢夺！","稀有 Rust 风格战利品箱已被侦测，速去抢夺！",
"STR_BSHC_Notification_Start_Rust","Someone is trying to force a Rust Crate!","¡Alguien está intentando forzar una Caja Rust!","Alguém está tentando forçar uma Caixa Ferrugem!","Jemand versucht, eine Rost-Kiste zu knacken!","Qualcuno sta cercando di forzare una Cassa Ruggine!","Кто-то пытается взломать ржавый ящик!","Ktoś próbuje sforsować rdzawą skrzynię!","Quelqu'un essaie de forcer une caisse rouillée !","Někdo se snaží hackovat rezavou krabici!","有人正在强行入侵 Rust 风格战利品箱！立即前往阻止！","有人正在强行入侵 Rust 风格战利品箱！立即前往阻止！",
"STR_BSHC_Marker_Hacking","Hacking","Hackeando","Hackeando","Hacking","Hacking","Взлом","Hakowanie","Piratage","Hackování","破解中","破解中",
"STR_BSHC_Marker_Unlocked","Unlocked","Desbloqueado","Desbloqueado","Entsperrt","Sbloccato","Разблокировано","Odblokowano","Déverrouillé","Odemčeno","已解锁","已解锁",
"STR_BSHC_Notification_End_Rust","The Rust Crate has yielded its contents!","¡La Caja Rust ha cedido su contenido!","A Caixa Ferrugem cedeu seu conteúdo!","Die Rost-Kiste hat ihren Inhalt preisgegeben!","La Cassa Ruggine ha ceduto il suo contenuto!","Ржавый ящик отдал свое содержимое!","Rdzawa skrzynia ujawniła swoją zawartość!","La caisse rouillée a révélé son contenido !","Rezavá krabice byla odemčena!","Rust 箱已完成破解，战利品已被获取！","Rust 箱已完成破解，战利品已被获取！",
"STR_BSHC_Action_AccessLoot","Access Loot","Acceder al Botín","Aceder ao Saque","Auf Beute zugreifen","Accedi al Bottino","Доступ к добыче","Dostęp do łupu","Accéder au butin","Vybrat loot","打开黑客补给箱","打开黑客补给箱",
"STR_BSHC_NoPermission","You do not have permission to use this command.","No tienes permiso para usar este comando.","Você não tem permissão para usar este comando.","Du hast keine Berechtigung, diesen Befehl zu verwenden.","Non hai il permesso di usare questo comando.","У вас нет разрешения на использование этой команды.","Nie masz uprawnień do użycia tej komendy.","Vous n'avez pas la permission d'utiliser cette commande.","Nemáte oprávnění použít tento příkaz.","您无权使用此命令。","您无权使用此命令。",
"STR_BSHC_ReloadSuccess","Hacked Crate configs reloaded successfully!","¡Configuraciones de Hacked Crate recargadas con éxito!","Configurações da Caixa Hackeável recarregadas com sucesso!","Hacked Crate-Konfigurationen erfolgreich neu geladen!","Configurazioni della Cassa Hackerabile ricaricate con successo!","Конфигурации взломанного ящика успешно перезагружены!","Konfiguracje zhakowanej skrzyni pomyślnie przeładowane!","Configurations de la caisse piratée rechargées avec succès!","Konfigurace Hacked Crate úspěšně znovu načteny!","黑客箱配置已成功重载。","黑客箱配置已成功重载。",
